"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"4","19AC3C74","GO301_24_2055_1","Grand Central","2055","1","6B58EDF0W","0"
"4","ABFA9FD8","GO301_24_2056","Ronkonkoma","2056","0","6B58EDF0","0"
"4","19AC3C74","GO301_24_2056_1","Ronkonkoma","2056","0","6B58EDF0","0"
"4","BAD83C58","GO301_24_2057","Grand Central","2057","1","6B58EDF0W","0"
"4","32F3C296","GO301_24_2057_1","Grand Central","2057","1","6B58EDF0W","0"
"4","E1798FF8","GO301_24_2060","Ronkonkoma","2060","0","6B58EDF0","0"
"4","BAD83C58","GO301_24_2063","Grand Central","2063","1","6B58EDF0W","0"
"4","32F3C296","GO301_24_2063_1","Grand Central","2063","1","6B58EDF0W","0"
"4","E1798FF8","GO301_24_2064","Ronkonkoma","2064","0","6B58EDF0","1"
"4","BAD83C58","GO301_24_2065","Grand Central","2065","1","6B58EDF0W","0"
"4","32F3C296","GO301_24_2065_1","Grand Central","2065","1","6B58EDF0W","0"
"4","E1798FF8","GO301_24_2066","Ronkonkoma","2066","0","6B58EDF0","1"
"4","BAD83C58","GO301_24_2067","Grand Central","2067","1","6B58EDF0W","0"
"4","32F3C296","GO301_24_2067_1","Grand Central","2067","1","6B58EDF0W","0"
"4","E1798FF8","GO301_24_2068","Ronkonkoma","2068","0","6B58EDF0","1"
"4","E1798FF8","GO301_24_2070","Ronkonkoma","2070","0","6B58EDF0","1"
"4","BAD83C58","GO301_24_2071","Grand Central","2071","1","6B58EDF0W","0"
"4","32F3C296","GO301_24_2071_1","Grand Central","2071","1","6B58EDF0W","0"
"4","3D4EF12B","GO301_24_2073","Grand Central","2073","1","6B58EDF0W","0"
"4","1EB77612","GO301_24_2073_1","Grand Central","2073","1","6B58EDF0W","0"
"4","C9C116E8","GO301_24_2073_2","Grand Central","2073","1","6B58EDF0W","0"
"4","C4CAC5CB","GO301_24_2073_3","Grand Central","2073","1","6B58EDF0W","0"
