"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO301_24_6771_2","22:44:00","22:44:00","195","5","0","0"
"GO301_24_6771_2","22:47:00","22:47:00","63","6","0","0"
"GO301_24_6771_2","22:49:00","22:49:00","23","7","0","0"
"GO301_24_6771_2","22:52:00","22:52:00","359","8","0","0"
"GO301_24_6771_2","22:55:00","22:55:00","175","9","0","0"
"GO301_24_6771_2","22:57:00","22:57:00","89","10","0","0"
"GO301_24_6771_2","22:59:00","22:59:00","86","11","1","1"
"GO301_24_6771_2","23:03:00","23:04:00","102","12","0","0"
"GO301_24_6771_2","23:23:00","23:23:00","349","13","0","0"
"GO301_24_6772","22:40:00","22:40:00","349","1","0","0"
"GO301_24_6772","23:01:00","23:02:00","102","2","0","0"
"GO301_24_6772","23:06:00","23:06:00","86","3","1","1"
"GO301_24_6772","23:08:00","23:08:00","89","4","0","0"
"GO301_24_6772","23:11:00","23:11:00","175","5","0","0"
"GO301_24_6772","23:13:00","23:13:00","359","6","0","0"
"GO301_24_6772","23:15:00","23:15:00","23","7","0","0"
"GO301_24_6772","23:17:00","23:17:00","63","8","0","0"
"GO301_24_6772","23:20:00","23:20:00","195","9","0","0"
"GO301_24_6772","23:23:00","23:23:00","149","10","0","0"
"GO301_24_6772","23:26:00","23:26:00","68","11","0","0"
"GO301_24_6772","23:29:00","23:29:00","36","12","0","0"
"GO301_24_6772","23:33:00","23:33:00","84","13","0","0"
"GO301_24_6772_1","22:35:00","22:35:00","349","1","0","0"
"GO301_24_6772_1","22:56:00","22:57:00","102","2","0","0"
"GO301_24_6772_1","23:02:00","23:02:00","86","3","1","1"
"GO301_24_6772_1","23:04:00","23:04:00","89","4","0","0"
"GO301_24_6772_1","23:07:00","23:07:00","175","5","0","0"
"GO301_24_6772_1","23:09:00","23:09:00","359","6","0","0"
"GO301_24_6772_1","23:11:00","23:11:00","23","7","0","0"
"GO301_24_6772_1","23:13:00","23:13:00","63","8","0","0"
"GO301_24_6772_1","23:16:00","23:16:00","195","9","0","0"
"GO301_24_6772_1","23:19:00","23:19:00","149","10","0","0"
"GO301_24_6772_1","23:22:00","23:22:00","68","11","0","0"
"GO301_24_6772_1","23:25:00","23:25:00","36","12","0","0"
"GO301_24_6772_1","23:29:00","23:29:00","84","13","0","0"
"GO301_24_6772_2","22:34:00","22:34:00","349","1","0","0"
"GO301_24_6772_2","22:56:00","22:57:00","102","2","0","0"
"GO301_24_6772_2","23:01:00","23:01:00","86","3","1","1"
"GO301_24_6772_2","23:03:00","23:03:00","89","4","0","0"
"GO301_24_6772_2","23:06:00","23:06:00","175","5","0","0"
"GO301_24_6772_2","23:10:00","23:10:00","23","6","0","0"
"GO301_24_6772_2","23:12:00","23:12:00","63","7","0","0"
"GO301_24_6772_2","23:15:00","23:15:00","195","8","0","0"
"GO301_24_6772_2","23:18:00","23:18:00","149","9","0","0"
"GO301_24_6772_2","23:21:00","23:21:00","68","10","0","0"
"GO301_24_6772_2","23:24:00","23:24:00","36","11","0","0"
"GO301_24_6772_2","23:28:00","23:28:00","84","12","0","0"
"GO301_24_6773","23:01:00","23:01:00","84","1","0","0"
"GO301_24_6773","23:04:00","23:04:00","36","2","0","0"
"GO301_24_6773","23:07:00","23:07:00","68","3","0","0"
"GO301_24_6773","23:09:00","23:09:00","149","4","0","0"
"GO301_24_6773","23:12:00","23:12:00","195","5","0","0"
"GO301_24_6773","23:15:00","23:15:00","63","6","0","0"
"GO301_24_6773","23:17:00","23:17:00","23","7","0","0"
"GO301_24_6773","23:19:00","23:19:00","359","8","0","0"
"GO301_24_6773","23:22:00","23:22:00","175","9","0","0"
"GO301_24_6773","23:25:00","23:25:00","89","10","0","0"
"GO301_24_6773","23:27:00","23:27:00","86","11","1","1"
"GO301_24_6773","23:32:00","23:33:00","102","12","0","0"
"GO301_24_6773","23:52:00","23:52:00","349","13","0","0"
"GO301_24_6773_1","23:40:00","23:40:00","84","1","0","0"
"GO301_24_6773_1","23:43:00","23:43:00","36","2","0","0"
"GO301_24_6773_1","23:46:00","23:46:00","68","3","0","0"
"GO301_24_6773_1","23:49:00","23:49:00","149","4","0","0"
"GO301_24_6773_1","23:52:00","23:52:00","195","5","0","0"
"GO301_24_6773_1","23:55:00","23:55:00","63","6","0","0"
"GO301_24_6773_1","23:57:00","23:57:00","23","7","0","0"
"GO301_24_6773_1","23:59:00","23:59:00","359","8","0","0"
"GO301_24_6773_1","24:02:00","24:02:00","175","9","0","0"
"GO301_24_6773_1","24:05:00","24:05:00","89","10","0","0"
"GO301_24_6773_1","24:07:00","24:07:00","86","11","1","1"
"GO301_24_6773_1","24:12:00","24:14:00","102","12","0","0"
"GO301_24_6773_1","24:18:00","24:18:00","107","13","0","0"
"GO301_24_6773_1","24:20:00","24:20:00","55","14","0","0"
"GO301_24_6773_1","24:35:00","24:35:00","349","15","0","0"
"GO301_24_6773_2","23:32:00","23:32:00","84","1","0","0"
"GO301_24_6773_2","23:35:00","23:35:00","36","2","0","0"
"GO301_24_6773_2","23:38:00","23:38:00","68","3","0","0"
"GO301_24_6773_2","23:41:00","23:41:00","149","4","0","0"
"GO301_24_6773_2","23:44:00","23:44:00","195","5","0","0"
"GO301_24_6773_2","23:47:00","23:47:00","63","6","0","0"
"GO301_24_6773_2","23:49:00","23:49:00","23","7","0","0"
"GO301_24_6773_2","23:52:00","23:52:00","359","8","0","0"
"GO301_24_6773_2","23:55:00","23:55:00","175","9","0","0"
"GO301_24_6773_2","23:57:00","23:57:00","89","10","0","0"
"GO301_24_6773_2","23:59:00","23:59:00","86","11","1","1"
"GO301_24_6773_2","24:03:00","24:04:00","102","12","0","0"
"GO301_24_6773_2","24:23:00","24:23:00","349","13","0","0"
"GO301_24_6774","23:34:00","23:34:00","349","1","0","0"
